Categoría,Subcategoría,Nombre,Marca,Precio,Imagen (URL),Enlace,Es flexible
Despensa,Sin subcategoría,Aceite Vegetal Del Cielo Botella x 2Lt,Sin marca,S/ 14.30,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/135790637/aceite-vegetal-2lt/135790638?exp=tottus,No aplica
Despensa,Sin subcategoría,Keke Marmoleado Rectangular,TOTTUS,S/ 8.90,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/115776559/keke-marmoleado-rectangular-tottus/115776561?exp=tottus,No aplica
Despensa,Sin subcategoría,Aceituna Verde Rellena con Pimiento 240 g,TOTTUS,S/ 9.80,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/114405441/aceituna-verde-rellena-pimiento-x-240/114405442?exp=tottus,No aplica
Despensa,Sin subcategoría,Conserva de Piña en Rodajas 565 g,TOTTUS,S/ 7.10,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113708261/pina--rodajas-tottus-x-565gr/113708264?exp=tottus,No aplica
Despensa,Sin subcategoría,Pingüino 80 g,MARINELA,S/ 3.50,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113712082/pinguino-x-80-gr/113712083?exp=tottus,No aplica
Despensa,Sin subcategoría,Pinguinos Minix Triple Chocolate Doypack x 200 g,MARINELA,S/ 10.90,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/135315077/minix-pinguinos-tch-10p-200g-doypack-mla/135315078?exp=tottus,No aplica
Despensa,Sin subcategoría,Gansito Minix Doypack x 240 g,MARINELA,S/ 10.90,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/135315055/minix-gansito-8p-240g-dpy-mla/135315057?exp=tottus,No aplica
Despensa,Sin subcategoría,Kekitos sabor naranja PYC 90 g,BIMBO,S/ 2.90,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/115808946/kekito-pyc-naranja-x-90-gr/115808948?exp=tottus,No aplica
Despensa,Sin subcategoría,Keke familiar naranja 380 g,BIMBO,S/ 10.40,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113706286/keke-familiar-naranja-bimbo-x380gr/113706288?exp=tottus,No aplica
Despensa,Sin subcategoría,Gansito 50 g,MARINELA,S/ 2.70,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113710384/gansito-x-50-grs-bimbo/113710386?exp=tottus,No aplica
Despensa,Sin subcategoría,Pinguinos Minix Cookies And Cream x 200 g,MARINELA,S/ 10.90,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/122323949/minix-pinguinos-marinela-cookies-and-cream-200gr/122324018?exp=tottus,No aplica
Despensa,Sin subcategoría,Keke Familiar Marmoleado de 380 g,BIMBO,S/ 10.40,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113706517/keke-familiar-marmoleado-bimbo-x380gr/113706519?exp=tottus,No aplica
Despensa,Sin subcategoría,Pinguinos Cookies And Cream x 80 g,MARINELA,S/ 3.50,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/122324127/pinguinos-marinela-cookies-and-cream-80gr/122324238?exp=tottus,No aplica
Despensa,Sin subcategoría,Harina de Yuca 453 g,BOB'S RED MILL,S/ 24,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/114435319/harina-de-yuca-bobs-red-mill-x-453g/114435320?exp=tottus,No aplica
Despensa,Sin subcategoría,Ketchup americano,TOTTUS,S/ 9.90,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113929580/ketchup-americano-tottus-x-680gr/113929581?exp=tottus,No aplica
Despensa,Sin subcategoría,Ají Panca Molido de 50 g,TOTTUS,S/ 6,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113715299/aji-panca-molido-tottus-x-50-gr/113715300?exp=tottus,No aplica
Despensa,Sin subcategoría,Conservas De Durazno x 820 g,PULP,S/ 9.50,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/135602033/PULP-CONSERVAS-DE-DURAZNO-820G/135602035?exp=tottus,No aplica
Despensa,Sin subcategoría,Trozos De Atún Aceite Vegetal 140 g,COMPASS,S/ 5.50,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43396777_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/136002365/trozos-de-atun-compass-aceite-veg-140/136002366?exp=tottus,No
Despensa,Sin subcategoría,PASTA LINGUINI X 950G,TOTTUS,S/ 5.40,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42987603_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/117251063/pasta-linguini-tottus-x-950g/117251064?exp=tottus,No
Despensa,Sin subcategoría,Codo Chico 235 g,DON VITTORIO,S/ 2,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42977516_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/116633755/pasta-trigo-don-vittorio-codo-chico-bolsa-x-235g/116633756?exp=tottus,No
Despensa,Sin subcategoría,Salsa de tomate Pomarola clásica 145 g,MOLITALIA,S/ 1.50,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42743628_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113707310/salsa-tomate-pomarola-clasica-doypack-x-145g/113707311?exp=tottus,No
Despensa,Sin subcategoría,Arroz Superior 5 kg,PAISANA,S/ 22.90,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41470815_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113706368/arroz-paisana-superior-5-kg/113706369?exp=tottus,No
Despensa,Sin subcategoría,Keke de Naranja Redondo,TOTTUS,S/ 16.90,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41529729_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/115776595/keke-sabor-naranja-redondo/115776598?exp=tottus,No
Despensa,Sin subcategoría,Trozos de atún en aceite vegetal de 150 g,CAMPOMAR,S/ 6.10,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42876831_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/115267792/trozo-de-atun-en-aceite-vegetal-campomar-x-150gr/115267793?exp=tottus,No
Despensa,Sin subcategoría,Cabello De Ángel 250 g,DON VITTORIO,S/ 2,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40747594_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113706162/fideo-don-vittorio-cabello-angel-250gr/113706163?exp=tottus,No
